index,2019,2020
Acura,77.0,78.0
Alfa Romeo,,
Audi,78.571,76.5
Bmw,80.0,78.643
Buick,83.0,84.25
Cadillac,79.0,82.167
Chevrolet,82.533,84.083
Chrysler,76.0,75.0
Dodge,81.333,83.667
Fiat,,
Ford,80.3,80.5
Genesis,80.5,78.5
Gmc,81.25,82.25
Honda,79.8,79.4
Hyundai,81.4,80.0
Infiniti,76.75,78.0
Jaguar,72.5,79.0
Jeep,76.0,78.5
Kia,81.889,81.889
Land Rover,,
Lexus,81.286,81.167
Lincoln,81.667,80.333
Mazda,79.667,80.0
Mercedes-Benz,80.0,77.75
Mini,,
Mitsubishi,77.0,81.25
Nissan,81.5,82.333
Porsche,84.0,80.0
Ram,,
Smart,,
Subaru,77.571,78.143
Tesla,,
Toyota,82.0,80.923
Volkswagen,79.667,81.667
Volvo,77.333,75.667
