,2019,2020
Fiat 124,29.5,29.5
Ram 1500,19.692,20.077
Bmw 230I,26.8,25.4
Chrysler 300,21.4,21.0
Bmw 330I,28.0,29.0
Nissan 370Z,21.0,21.0
Bmw 430I,26.571,25.714
Bmw 440I,23.5,23.75
Alfa Romeo 4C,28.0,28.0
Toyota 4Runner,18.0,17.0
Fiat 500L,25.0,25.0
Fiat 500X,26.0,26.0
Bmw 530I,27.0,27.5
Bmw 540I,24.0,25.0
Bmw 740I,23.5,23.5
Bmw 750I,20.5,20.0
Toyota 86,25.5,25.5
Porsche 911,21.512,20.0
Mercedes-Benz A,28.0,28.0
Audi A3,27.0,26.667
Audi A4,27.333,27.667
Audi A5,27.0,26.667
Audi A6,26.0,24.333
Audi A7,25.0,24.0
Audi A8L,20.0,19.5
Gmc Acadia,21.5,22.6
Honda Accord,31.571,31.571
Nissan Altima,30.2,30.2
Mercedes-Benz Amg,19.174,19.947
Nissan Armada,15.5,15.5
Subaru Ascent,22.5,22.5
Toyota Avalon,34.5,34.5
Hyundai Accent,31.5,34.5
Bmw Alpina,20.0,20.0
Volkswagen Arteon,24.0,24.0
Volkswagen Atlas,20.0,20.0
Chevrolet Blazer,22.333,22.4
Subaru Brz,25.5,24.667
Porsche Boxster,23.0,22.333
Mercedes-Benz C,25.167,25.333
Toyota C-Hr,29.0,29.0
Chevrolet C1500,17.667,17.667
Chevrolet Camaro,20.125,20.125
Toyota Camry,35.429,32.9
Gmc Canyon,20.5,21.167
Honda Civic,32.062,31.75
Mercedes-Benz Cla,27.667,27.5
Mercedes-Benz Cls,26.0,26.0
Chevrolet Colorado,20.0,20.375
Lincoln Continental,19.667,19.667
Mini Cooper,27.333,28.917
Toyota Corolla,32.5,34.9
Chevrolet Corvette,16.833,19.0
Honda Cr-V,28.5,32.333
Subaru Crosstrek,27.0,27.5
Cadillac Ct6,21.75,19.0
Mazda Cx-3,30.0,30.0
Mazda Cx-5,26.667,26.0
Mazda Cx-9,23.5,23.5
Porsche Cayenne,19.333,18.833
Porsche Cayman,23.0,22.333
Dodge Challenger,18.5,17.833
Dodge Charger,20.0,19.0
Jeep Cherokee,23.1,23.1
Jeep Compass,25.25,25.25
Land Rover Discovery,21.25,20.75
Dodge Durango,18.2,18.2
Mercedes-Benz E,23.0,23.25
Mitsubishi Eclipse,26.0,26.0
Ford Ecosport,26.5,26.5
Ford Edge,23.0,22.75
Buick Enclave,20.5,20.5
Buick Encore,27.0,28.0
Buick Envision,23.667,23.667
Chevrolet Equinox,28.0,26.0
Lexus Es,31.667,31.667
Cadillac Escalade,17.0,17.0
Ford Escape,24.333,33.0
Ford Explorer,19.714,23.167
Hyundai Elantra,29.333,30.714
Ford Expedition,19.0,18.75
Jaguar F-Type,20.625,21.333
Ford F150,19.9,20.059
Honda Fit,33.333,33.333
Ford Ford,14.0,14.0
Subaru Forester,29.0,29.0
Nissan Frontier,18.5,19.5
Ford Fusion,29.0,30.333
Mercedes-Benz G,14.0,14.0
Genesis G70,22.0,22.0
Genesis G80,19.667,19.667
Genesis G90,19.25,19.25
Mercedes-Benz Gla,26.333,26.5
Mercedes-Benz Glc,23.667,24.0
Mercedes-Benz Gle,20.0,21.0
Mercedes-Benz Gls,17.0,19.5
Lexus Gs,22.5,21.25
Nissan Gt-R,18.0,18.0
Volkswagen Gti,27.0,27.0
Lexus Gx,16.0,16.0
Alfa Romeo Giulia,24.333,24.333
Volkswagen Golf,27.5,31.5
Dodge Grand,18.875,17.833
Toyota Highlander,24.0,29.333
Honda Hr-V,29.25,29.25
Acura Ilx,28.0,28.0
Chevrolet Impala,23.0,22.0
Subaru Impreza,28.375,28.125
Honda Insight,50.0,50.0
Lexus Is,22.25,22.25
Hyundai Ioniq,56.5,56.5
Mini Jcw,24.5,26.0
