,2019,2020
Acura Ilx,3938.0,3741.0
Acura Mdx,14579.0,14597.0
Acura Nsx,28.0,51.0
Acura Rdx,15038.0,14777.0
Acura Rlx,374.0,126.0
Acura Tlx,5707.0,5754.0
Alfa Romeo 4C,21.0,36.0
Alfa Romeo Giulia,2192.0,2030.0
Alfa Romeo Stelvio,2843.0,2244.0
Audi A3,2555.0,2090.0
Audi A4,5958.0,7895.0
Audi A5,3718.0,5748.0
Audi A6,3468.0,3263.0
Audi A7,749.0,819.0
Audi A8,656.0,387.0
Audi Etron,2296.0,1705.0
Audi Q3,7333.0,5655.0
Audi Q5,11339.0,17090.0
Audi Q7,6134.0,8516.0
Audi Q8,3257.0,3324.0
Audi R8,196.0,139.0
Audi Tt,237.0,400.0
Bmw 2-Series,2782.0,2142.0
Bmw 3-Series,8243.0,11679.0
Bmw 4-Series,4537.0,4008.0
Bmw 5-Series,4093.0,7661.0
Bmw 6-Series,1787.0,147.0
Bmw 7-Series,912.0,2147.0
Bmw 8-Series,2098.0,873.0
Bmw I3,610.0,1156.0
Bmw I8,48.0,259.0
Bmw X1,3606.0,4537.0
Bmw X2,1734.0,2513.0
Bmw X3,16163.0,17993.0
Bmw X4,1604.0,2217.0
Bmw X5,12702.0,12665.0
Bmw X6,1974.0,230.0
Bmw X7,4833.0,4940.0
Bmw Z4,713.0,820.0
Buick Cascada,0.0,400.0
Buick Enclave,9936.0,13273.0
Buick Encore,11143.0,25007.0
Buick Encore Gx,16019.0,0.0
Buick Envision,11655.0,8089.0
Buick Lacrosse,6.0,1389.0
Buick Regal,411.0,2456.0
Cadillac Ats,17.0,158.0
Cadillac Ct4,1537.0,0.0
Cadillac Ct5,4001.0,0.0
Cadillac Ct6,422.0,1626.0
Cadillac Cts,148.0,1128.0
Cadillac Escalade,4537.0,10284.0
Cadillac Xt4,6345.0,8986.0
Cadillac Xt5,9468.0,12315.0
Cadillac Xt6,6249.0,4316.0
Cadillac Xts,242.0,1149.0
Chevrolet Blazer,29485.0,20312.0
Chevrolet Bolt,5682.0,4830.0
Chevrolet Camaro,8367.0,12275.0
Chevrolet Colorado,27255.0,31656.0
Chevrolet Corvette,6355.0,4766.0
Chevrolet Cruze,71.0,5799.0
Chevrolet Equinox,67475.0,79800.0
Chevrolet Express,14784.0,22062.0
Chevrolet Impala,1916.0,9638.0
Chevrolet Malibu,25455.0,32432.0
Chevrolet Silverado,147484.0,155482.0
Chevrolet Sonic,4347.0,2148.0
Chevrolet Spark,8373.0,6615.0
Chevrolet Suburban,7549.0,12391.0
Chevrolet Tahoe,23121.0,26308.0
Chevrolet Trailblazer,10321.0,0.0
Chevrolet Traverse,31603.0,41116.0
Chevrolet Trax,29485.0,37408.0
Chevrolet Volt,6.0,875.0
Chrysler 200,3.0,10.0
Chrysler 300,3170.0,7836.0
Chrysler Pacifica,19006.0,21697.0
Chrysler Town And Country,9690.0,1.0
Dodge Avenger,0.0,0.0
Dodge Challenger,16332.0,18031.0
Dodge Charger,23547.0,26060.0
Dodge Dart,0.0,3.0
Dodge Durango,15957.0,15631.0
Dodge Grand Caravan,5932.0,27456.0
Dodge Journey,10164.0,16965.0
Dodge Viper,3.0,0.0
Fiat 124 Spider,416.0,687.0
Fiat 500,96.0,876.0
Fiat 500L,138.0,206.0
Fiat 500X,452.0,592.0
Ford C-Max,0.0,0.0
Ford E-Series,9286.0,9874.0
Ford Ecosport,17045.0,16271.0
Ford Edge,26211.0,36659.0
Ford Escape,46956.0,60701.0
Ford Expedition,19401.0,18586.0
Ford Explorer,59059.0,33954.0
Ford F-Series,221647.0,214176.0
Ford Fiesta,135.0,14717.0
Ford Flex,539.0,5575.0
Ford Focus,0.0,0.0
Ford Fusion,29243.0,37557.0
Ford Gt,0.0,520.0
Ford Mustang,13851.0,16823.0
Ford Ranger,28350.0,26211.0
Ford Taurus,0.0,1034.0
Ford Transit,38891.0,43876.0
Ford Transit Connect,10916.0,11536.0
Genesis G70,2732.0,2791.0
Genesis G80,601.0,1510.0
Genesis G90,412.0,601.0
Gmc Acadia,18231.0,20338.0
Gmc Canyon,6474.0,7437.0
Gmc Savana,4843.0,5022.0
Gmc Sierra,67812.0,66199.0
Gmc Terrain,21313.0,23058.0
Gmc Yukon,14073.0,18736.0
Honda Accord,56537.0,75028.0
Honda Civic,73083.0,86312.0
Honda Clarity Fcv,818.0,2314.0
Honda Cr-V,88436.0,103795.0
Honda Cr-Z,0.0,0.0
Honda Fit,10501.0,10112.0
Honda Hr-V,24904.0,25135.0
Honda Insight,5280.0,6236.0
Honda Odyssey,23774.0,26758.0
Honda Passport,11642.0,10583.0
Honda Pilot,35187.0,35517.0
Honda Ridgeline,8607.0,8378.0
Hyundai Accent,4021.0,5109.0
Hyundai Azera,0.0,0.0
Hyundai Elantra,26653.0,40498.0
Hyundai Ioniq,3801.0,6547.0
Hyundai Kona,22046.0,18049.0
Hyundai Nexo,62.0,78.0
Hyundai Palisade,24128.0,13074.0
Hyundai Santa Fe,26991.0,28748.0
Hyundai Sonata,22837.0,21236.0
Hyundai Tuscon,33198.0,36907.0
Hyundai Veloster,2298.0,2782.0
Hyundai Venue,4793.0,0.0
Infiniti Q50,3868.0,5418.0
Infiniti Q60,590.0,1116.0
Infiniti Q70,6.0,503.0
Infiniti Qx30,13.0,576.0
Infiniti Qx50,5500.0,4886.0
Infiniti Qx60,5334.0,8785.0
Infiniti Qx70,0.0,0.0
Infiniti Qx80,2057.0,3592.0
Jaguar E-Pace,901.0,870.0
Jaguar F-Pace,1999.0,3052.0
Jaguar F-Type,400.0,548.0
Jaguar I-Pace,500.0,533.0
Jaguar Xe,400.0,635.0
Jaguar Xf,200.0,263.0
Jaguar Xj,300.0,249.0
Jeep Cherokee,40981.0,52139.0
Jeep Compass,29588.0,35158.0
Jeep Gladiator,22163.0,16132.0
Jeep Grand Cherokee,56447.0,61768.0
Jeep Patriot,0.0,8.0
Jeep Renegade,18961.0,21234.0
Jeep Wrangler,54071.0,59035.0
Kia Cadenza,252.0,293.0
Kia Forte,23467.0,24872.0
Kia K5,10662.0,0.0
Kia K900,84.0,102.0
Kia Niro,4980.0,6020.0
Kia Optima,9276.0,25197.0
Kia Rio,6296.0,6740.0
Kia Sedona,3117.0,3798.0
Kia Seltos,15431.0,0.0
Kia Sorento,22696.0,25182.0
Kia Soul,21290.0,22044.0
Kia Sportage,22782.0,25029.0
Kia Stinger,3441.0,3495.0
Kia Telluride,21239.0,15982.0
Land Rover Defender,1300.0,0.0
Land Rover Discovery / Lr4,1200.0,1666.0
Land Rover Discovery Sport,1999.0,2171.0
Land Rover Range Rover,3000.0,4281.0
Land Rover Range Rover Evoque,1900.0,2959.0
Land Rover Range Rover Sport,3799.0,5752.0
Land Rover Range Rover Velar,2701.0,3687.0
Lexus Ct,0.0,0.0
Lexus Es,12775.0,13916.0
Lexus Gs,861.0,840.0
Lexus Gx,7261.0,6405.0
Lexus Is,3629.0,3538.0
Lexus Lc,327.0,260.0
Lexus Lfa,1.0,0.0
Lexus Ls,857.0,1251.0
Lexus Lx,1062.0,1024.0
Lexus Nx,13204.0,13198.0
Lexus Rc,1102.0,1253.0
Lexus Rx,29438.0,28109.0
Lexus Ux,4768.0,4022.0
Lincoln Aviator,6118.0,1900.0
Lincoln Continental,1297.0,1897.0
Lincoln Mkc,7044.0,6523.0
Lincoln Mks,0.0,0.0
Lincoln Mkt,23.0,625.0
Lincoln Mkx/Nautilus,5772.0,7962.0
Lincoln Mkz,3666.0,4685.0
Lincoln Navigator,3635.0,4345.0
Mazda 3,8941.0,11983.0
Mazda 6,3880.0,4210.0
Mazda Cx-3,2255.0,4996.0
Mazda Cx-30,10837.0,0.0
Mazda Cx-5,39205.0,39315.0
Mazda Cx-9,6961.0,6671.0
