Model Year,Division,Carline,Comb FE (Guide) - Conventional Fuel
2019,Acura,NSX,21.0
2019,ALFA ROMEO,4C,28.0
2019,Aston Martin Lagonda Ltd,Vantage V8,21.0
2019,Audi,TT Roadster quattro,26.0
2019,BMW,Z4 sDrive30i,28.0
2019,Bugatti,Chiron,11.0
2019,Chevrolet,CORVETTE,15.0
2019,Chevrolet,CORVETTE,18.0
2019,Chevrolet,CORVETTE,17.0
2019,Chevrolet,CORVETTE,15.0
2019,Chevrolet,CORVETTE,17.0
2019,Chevrolet,CORVETTE,19.0
2019,"Ferrari North America, Inc.",488 gtb,18.0
2019,"Ferrari North America, Inc.",488 gtb,18.0
2019,"Ferrari North America, Inc.",488 Pista,17.0
2019,"Ferrari North America, Inc.",488 Pista Spider,17.0
2019,"Ferrari North America, Inc.",488 Spider,18.0
2019,"Ferrari North America, Inc.",488 Spider,18.0
2019,"Ferrari North America, Inc.",812 Superfast,13.0
2019,FIAT,124 Spider,29.0
2019,FIAT,124 Spider,30.0
2019,Ford,FORD GT,14.0
2019,Jaguar,F-TYPE Convertible,26.0
2019,Jaguar,F-TYPE Convertible,23.0
2019,Jaguar,F-TYPE Convertible Manual,19.0
2019,Jaguar,F-TYPE Coupe,26.0
2019,Jaguar,F-TYPE Coupe,23.0
2019,Jaguar,F-TYPE Coupe Manual,19.0
2019,Jaguar,F-TYPE R AWD Convertible,18.0
2019,Jaguar,F-TYPE R AWD Coupe,18.0
2019,Jaguar,F-TYPE S AWD Convertible,21.0
2019,Jaguar,F-TYPE S AWD Coupe,21.0
2019,Jaguar,F-TYPE S Convertible,22.0
2019,Jaguar,F-TYPE S Convertible Manual,18.0
2019,Jaguar,F-TYPE S Coupe,22.0
2019,Jaguar,F-TYPE S Coupe Manual,18.0
2019,Jaguar,F-TYPE SVR AWD Convertible GEN2,18.0
2019,Jaguar,F-TYPE SVR AWD Coupe GEN2,18.0
2019,Lamborghini,Aventador Coupe,11.0
2019,Lamborghini,Aventador Roadster,11.0
2019,Lamborghini,Huracan,15.0
2019,Lamborghini,Huracan 2WD,15.0
2019,Lamborghini,Huracan Spyder,15.0
2019,Lamborghini,Huracan Spyder 2WD,15.0
2019,MAZDA,MX-5,30.0
2019,MAZDA,MX-5,29.0
2019,Mercedes-Benz,AMG GT (coupe),18.0
2019,Mercedes-Benz,AMG GT (roadster),18.0
2019,Mercedes-Benz,AMG GT C (coupe),17.0
2019,Mercedes-Benz,AMG GT C (roadster),17.0
2019,Mercedes-Benz,AMG GT R (coupe),17.0
2019,Mercedes-Benz,AMG GT S (coupe),18.0
2019,Mercedes-Benz,AMG SL 63,18.0
2019,Mercedes-Benz,AMG SLC 43,23.0
2019,Mercedes-Benz,SL 450,23.0
2019,Mercedes-Benz,SL 550,20.0
2019,Mercedes-Benz,SLC 300,27.0
2019,NISSAN,370Z,22.0
2019,NISSAN,370Z,20.0
2019,NISSAN,370Z Roadster,21.0
2019,Porsche,911 GT2 RS,17.0
2019,Porsche,911 GT3,17.0
2019,Porsche,911 GT3,16.0
2019,Porsche,911 GT3 RS,16.0
2019,Porsche,911 GT3 Touring,17.0
2019,Porsche,911 Speedster,16.0
2019,Porsche,Boxster,25.0
2019,Porsche,Boxster,24.0
2019,Porsche,Boxster GTS,22.0
2019,Porsche,Boxster GTS,21.0
2019,Porsche,Boxster S,24.0
2019,Porsche,Boxster S,22.0
2019,Porsche,Cayman,25.0
2019,Porsche,Cayman,24.0
2019,Porsche,Cayman GTS,22.0
2019,Porsche,Cayman GTS,21.0
2019,Porsche,Cayman S,24.0
2019,Porsche,Cayman S,22.0
2019,Aston Martin Lagonda Ltd,DB11 V12,18.0
2019,Aston Martin Lagonda Ltd,DB11 V8,20.0
2019,Aston Martin Lagonda Ltd,DBS,17.0
2019,Aston Martin Lagonda Ltd,Vanquish S,16.0
2019,"Ferrari North America, Inc.",GTC4Lusso,13.0
2019,"Ferrari North America, Inc.",GTC4Lusso T,17.0
2019,"Ferrari North America, Inc.",Portofino,18.0
2019,FIAT,500,27.0
2019,FIAT,500,30.0
2019,FIAT,500 Abarth,27.0
2019,FIAT,500 Abarth,30.0
2019,Mini,COOPER CONVERTIBLE,30.0
2019,Mini,COOPER CONVERTIBLE,31.0
2019,Mini,COOPER S CONVERTIBLE,28.0
2019,Mini,COOPER S CONVERTIBLE,26.0
2019,Mini,JOHN COOPER WORKS CONVERTIBLE,28.0
2019,Mini,JOHN COOPER WORKS CONVERTIBLE,25.0
2019,Porsche,911 Carrera,25.0
2019,Porsche,911 Carrera,23.0
2019,Porsche,911 Carrera 4,24.0
2019,Porsche,911 Carrera 4,23.0
2019,Porsche,911 Carrera 4 Cabriolet,24.0
2019,Porsche,911 Carrera 4 Cabriolet,22.0
2019,Porsche,911 Carrera 4 GTS,22.0
2019,Porsche,911 Carrera 4 GTS,21.0
2019,Porsche,911 Carrera 4 GTS Cabriolet,22.0
2019,Porsche,911 Carrera 4 GTS Cabriolet,21.0
2019,Porsche,911 Carrera 4S,24.0
2019,Porsche,911 Carrera 4S,23.0
2019,Porsche,911 Carrera 4S Cabriolet,24.0
2019,Porsche,911 Carrera 4S Cabriolet,22.0
2019,Porsche,911 Carrera Cabriolet,24.0
2019,Porsche,911 Carrera Cabriolet,23.0
2019,Porsche,911 Carrera GTS,23.0
2019,Porsche,911 Carrera GTS,21.0
2019,Porsche,911 Carrera GTS Cabriolet,22.0
2019,Porsche,911 Carrera GTS Cabriolet,21.0
2019,Porsche,911 Carrera S,24.0
2019,Porsche,911 Carrera S,23.0
2019,Porsche,911 Carrera S Cabriolet,24.0
2019,Porsche,911 Carrera S Cabriolet,23.0
2019,Porsche,911 Carrera T,22.0
2019,Porsche,911 Carrera T,19.0
2019,Porsche,911 Targa 4,24.0
2019,Porsche,911 Targa 4,22.0
2019,Porsche,911 Targa 4 GTS,22.0
2019,Porsche,911 Targa 4 GTS,21.0
2019,Porsche,911 Targa 4S,24.0
2019,Porsche,911 Targa 4S,22.0
2019,Porsche,911 Turbo,21.0
2019,Porsche,911 Turbo Cabriolet,21.0
2019,Porsche,911 Turbo S,21.0
2019,Porsche,911 Turbo S Cabriolet,21.0
2019,Porsche,911 Turbo S Exclusive Cabriolet,18.0
2019,Subaru,BRZ,27.0
2019,Subaru,BRZ,24.0
2019,TOYOTA,86,27.0
2019,TOYOTA,86,24.0
2019,Aston Martin Lagonda Ltd,Rapide S,17.0
2019,Audi,A3,29.0
2019,Audi,A3 Cabriolet,29.0
2019,Audi,A3 Cabriolet quattro,25.0
2019,Audi,A3 quattro,25.0
2019,Audi,A5 Cabriolet quattro,27.0
2019,Audi,A5 quattro,27.0
2019,Audi,RS 3,22.0
2019,Audi,RS 5,21.0
2019,Audi,S3,25.0
2019,Audi,S5,24.0
2019,Audi,S5 Cabriolet,24.0
2019,Audi,TT Coupe quattro,26.0
2019,Audi,TT RS,23.0
2019,Audi,TTS Coupe,25.0
2019,BMW,230i Convertible,27.0
2019,BMW,230i Coupe,28.0
2019,BMW,230i Coupe,25.0
2019,BMW,230i xDrive Convertible,27.0
2019,BMW,230i xDrive Coupe,27.0
2019,BMW,430i Convertible,27.0
2019,BMW,430i xDrive Convertible,26.0
2019,BMW,440i Convertible,24.0
2019,BMW,440i xDrive Convertible,23.0
2019,BMW,M2 Competition,19.0
2019,BMW,M2 Competition,20.0
2019,BMW,M240i Convertible,24.0
2019,BMW,M240i Convertible,21.0
2019,BMW,M240i Coupe,24.0
2019,BMW,M240i Coupe,21.0
2019,BMW,M240i Coupe M Performance,24.0
2019,BMW,M240i Coupe M Performance,21.0
2019,BMW,M240i xDrive Convertible,24.0
2019,BMW,M240i xDrive Coupe,24.0
2019,BMW,M240i xDrive Coupe M Performance,24.0
2019,BMW,M4 Convertible,19.0
2019,BMW,M4 Convertible,20.0
2019,BMW,M4 Convertible Competition,19.0
2019,BMW,M4 Convertible Competition,20.0
2019,BMW,M850i xDrive Convertible,20.0
2019,BMW,M850i xDrive Coupe,20.0
2019,Buick,CASCADA,24.0
2019,Chevrolet,CAMARO,25.0
2019,Chevrolet,CAMARO,23.0
2019,Chevrolet,CAMARO,22.0
2019,Chevrolet,CAMARO,20.0
2019,Chevrolet,CAMARO,20.0
2019,Chevrolet,CAMARO,16.0
2019,Chevrolet,CAMARO,19.0
2019,Chevrolet,CAMARO,16.0
2019,Chevrolet,SPARK,33.0
2019,Chevrolet,SPARK,33.0
2019,Chevrolet,SPARK ACTIV,33.0
2019,Chevrolet,SPARK ACTIV,32.0
2019,Ford,Fiesta FWD,31.0
2019,Ford,Fiesta FWD,30.0
2019,Ford,MUSTANG,25.0
2019,Ford,MUSTANG,25.0
2019,Ford,MUSTANG,19.0
2019,Ford,MUSTANG,18.0
2019,Ford,MUSTANG BULLITT,18.0
2019,Ford,MUSTANG CONVERTIBLE,23.0
2019,Ford,MUSTANG CONVERTIBLE,23.0
2019,Ford,MUSTANG CONVERTIBLE,18.0
2019,Ford,MUSTANG PERFORMANCE PACKAGE,23.0
2019,Ford,MUSTANG PERFORMANCE PACKAGE,23.0
2019,Ford,SHELBY GT350 MUSTANG,16.0
2019,INFINITI,Q60,25.0
2019,INFINITI,Q60,22.0
2019,INFINITI,Q60 AWD,24.0
2019,INFINITI,Q60 AWD,22.0
2019,INFINITI,Q60 AWD RED SPORT,21.0
2019,INFINITI,Q60 RED SPORT,22.0
2019,LEXUS,LC 500,19.0
2019,LEXUS,LC 500h,30.0
2019,LEXUS,RC 300,24.0
2019,LEXUS,RC 300 AWD,21.0
2019,LEXUS,RC 350,23.0
2019,LEXUS,RC 350 AWD,21.0
2019,LEXUS,RC F,19.0
2019,MASERATI,GRANTURISMO CONVERTIBLE,16.0
2019,Mercedes-Benz,A 220,28.0
2019,Mercedes-Benz,A 220 4MATIC,28.0
2019,Mercedes-Benz,AMG C 43 4MATIC (convertible),21.0
2019,Mercedes-Benz,AMG C 43 4MATIC (coupe),22.0
2019,Mercedes-Benz,AMG C 63 (convertible),20.0
2019,Mercedes-Benz,AMG C 63 (coupe),20.0
2019,Mercedes-Benz,AMG C 63 S (convertible),20.0
2019,Mercedes-Benz,AMG C 63 S (coupe),20.0
2019,Mercedes-Benz,AMG E53 4MATIC+ (Convertible),23.0
2019,Mercedes-Benz,AMG E53 4MATIC+ (Coupe),23.0
