,2019 Q3 Sales,2020 Q3 Sales
Acura ILX,"3,938","3,741"
Acura MDX,"14,579","14,597"
Acura NSX,28,51
Acura RDX,"15,038","14,777"
Acura RLX,374,126
Acura TLX,"5,707","5,754"
Alfa Romeo 4C,21,36
Alfa Romeo Giulia,"2,192","2,030"
Alfa Romeo Stelvio,"2,843","2,244"
Audi A3,"2,555","2,090"
Audi A4,"5,958","7,895"
Audi A5,"3,718","5,748"
Audi A6,"3,468","3,263"
Audi A7,749,819
Audi A8,656,387
Audi eTron,"2,296","1,705"
Audi Q3,"7,333","5,655"
Audi Q5,"11,339","17,090"
Audi Q7,"6,134","8,516"
Audi Q8,"3,257","3,324"
Audi R8,196,139
Audi TT,237,400
BMW 2-Series,"2,782","2,142"
BMW 3-Series,"8,243","11,679"
BMW 4-Series,"4,537","4,008"
BMW 5-Series,"4,093","7,661"
BMW 6-Series,"1,787",147
BMW 7-Series,912,"2,147"
BMW 8-Series,"2,098",873
BMW i3,610,"1,156"
BMW i8,48,259
BMW X1,"3,606","4,537"
BMW X2,"1,734","2,513"
BMW X3,"16,163","17,993"
BMW X4,"1,604","2,217"
BMW X5,"12,702","12,665"
BMW X6,"1,974",230
BMW X7,"4,833","4,940"
BMW Z4,713,820
Buick Cascada,0,400
Buick Enclave,"9,936","13,273"
Buick Encore,"11,143","25,007"
Buick Encore GX,"16,019",0
Buick Envision,"11,655","8,089"
Buick LaCrosse,6,"1,389"
Buick Regal,411,"2,456"
Cadillac ATS,17,158
Cadillac CT4,"1,537",0
Cadillac CT5,"4,001",0
Cadillac CT6,422,"1,626"
Cadillac CTS,148,"1,128"
Cadillac Escalade,"4,537","10,284"
Cadillac XT4,"6,345","8,986"
Cadillac XT5,"9,468","12,315"
Cadillac XT6,"6,249","4,316"
Cadillac XTS,242,"1,149"
Chevrolet Blazer,"29,485","20,312"
Chevrolet Bolt,"5,682","4,830"
Chevrolet Camaro,"8,367","12,275"
Chevrolet Colorado,"27,255","31,656"
Chevrolet Corvette,"6,355","4,766"
Chevrolet Cruze,71,"5,799"
Chevrolet Equinox,"67,475","79,800"
Chevrolet Express,"14,784","22,062"
Chevrolet Impala,"1,916","9,638"
Chevrolet Malibu,"25,455","32,432"
Chevrolet Silverado,"147,484","155,482"
Chevrolet Sonic,"4,347","2,148"
Chevrolet Spark,"8,373","6,615"
Chevrolet Suburban,"7,549","12,391"
Chevrolet Tahoe,"23,121","26,308"
Chevrolet TrailBlazer,"10,321",0
Chevrolet Traverse,"31,603","41,116"
Chevrolet Trax,"29,485","37,408"
Chevrolet Volt,6,875
Chrysler 200,3,10
Chrysler 300,"3,170","7,836"
Chrysler Pacifica,"19,006","21,697"
Chrysler Town and Country,"9,690",1
Dodge Avenger,0,0
Dodge Challenger,"16,332","18,031"
Dodge Charger,"23,547","26,060"
Dodge Dart,0,3
Dodge Durango,"15,957","15,631"
Dodge Grand Caravan,"5,932","27,456"
Dodge Journey,"10,164","16,965"
Dodge Viper,3,0
Fiat 124 Spider,416,687
Fiat 500,96,876
Fiat 500L,138,206
Fiat 500X,452,592
Ford C-Max,0,0
Ford E-Series,"9,286","9,874"
Ford EcoSport,"17,045","16,271"
Ford Edge,"26,211","36,659"
Ford Escape,"46,956","60,701"
Ford Expedition,"19,401","18,586"
Ford Explorer,"59,059","33,954"
Ford F-Series,"221,647","214,176"
Ford Fiesta,135,"14,717"
Ford Flex,539,"5,575"
Ford Focus,0,0
Ford Fusion,"29,243","37,557"
Ford GT,0,520
Ford Mustang,"13,851","16,823"
Ford Ranger,"28,350","26,211"
Ford Taurus,0,"1,034"
Ford Transit,"38,891","43,876"
Ford Transit Connect,"10,916","11,536"
Genesis G70,"2,732","2,791"
Genesis G80,601,"1,510"
Genesis G90,412,601
GMC Acadia,"18,231","20,338"
